# episode, # turns, reward
446.0, 6.0, -0.24000000000000002
447.0, 14.0, -0.5599999999999999
448.0, 5.0, -0.2
449.0, 3.0, -0.12
450.0, 4.0, -0.16
451.0, 6.0, 0.8
452.0, 4.0, 0.88
453.0, 5.0, -0.2
454.0, 4.0, -0.16
455.0, 4.0, 0.88
456.0, 5.0, -0.2
457.0, 10.0, -0.39999999999999997
458.0, 8.0, -0.32
459.0, 3.0, -0.12
460.0, 12.0, -0.4799999999999999
461.0, 6.0, -0.24000000000000002
462.0, 6.0, -0.24000000000000002
463.0, 5.0, -0.2
464.0, 5.0, -0.2
465.0, 3.0, 0.92
466.0, 2.0, -0.08
467.0, 6.0, -0.24000000000000002
468.0, 7.0, -0.28
469.0, 17.0, -0.68
470.0, 8.0, -0.32
471.0, 3.0, -0.12
472.0, 5.0, 0.84
473.0, 4.0, -0.16
474.0, 5.0, -0.2
475.0, 6.0, -0.24000000000000002
476.0, 4.0, -0.16
477.0, 20.0, 0.23999999999999988
478.0, 9.0, 0.6799999999999999
479.0, 11.0, 0.6000000000000001
480.0, 2.0, -0.08
481.0, 3.0, -0.12
482.0, 9.0, -0.36
483.0, 7.0, -0.28
484.0, 5.0, -0.2
485.0, 5.0, -0.2
486.0, 19.0, -0.7600000000000001
487.0, 27.0, -1.0800000000000003
488.0, 7.0, -0.28
489.0, 5.0, 0.84
490.0, 6.0, -0.24000000000000002
491.0, 11.0, -0.43999999999999995
492.0, 28.0, -1.1200000000000003
493.0, 8.0, -0.32
494.0, 4.0, 0.88
495.0, 3.0, -0.12
496.0, 6.0, -0.24000000000000002
497.0, 16.0, 0.4
498.0, 8.0, -0.32
499.0, 4.0, 0.88
500.0, 9.0, -0.36
501.0, 31.0, -1.2400000000000004
502.0, 9.0, -0.36
503.0, 6.0, -0.24000000000000002
504.0, 5.0, -0.2
505.0, 5.0, -0.2
506.0, 5.0, 0.84
507.0, 5.0, -0.2
508.0, 10.0, -0.39999999999999997
509.0, 3.0, 0.92
510.0, 3.0, -0.12
511.0, 12.0, -0.4799999999999999
512.0, 13.0, 0.52
513.0, 4.0, -0.16
514.0, 6.0, -0.24000000000000002
515.0, 3.0, 0.92
516.0, 6.0, 0.8
517.0, 6.0, -0.24000000000000002
518.0, 4.0, -0.16
519.0, 7.0, -0.28
520.0, 11.0, -0.43999999999999995
521.0, 6.0, -0.24000000000000002
522.0, 6.0, 0.8
523.0, 4.0, -0.16
524.0, 2.0, -0.08
525.0, 4.0, -0.16
526.0, 5.0, -0.2
527.0, 4.0, -0.16
528.0, 4.0, -0.16
529.0, 7.0, -0.28
530.0, 11.0, -0.43999999999999995
531.0, 4.0, 0.88
532.0, 5.0, -0.2
533.0, 4.0, 0.88
534.0, 12.0, -0.4799999999999999
535.0, 5.0, -0.2
536.0, 10.0, -0.39999999999999997
537.0, 9.0, 0.6799999999999999
538.0, 4.0, 0.88
539.0, 11.0, -0.43999999999999995
540.0, 4.0, -0.16
541.0, 5.0, -0.2
542.0, 3.0, -0.12
543.0, 8.0, -0.32
544.0, 2.0, -0.08
545.0, 9.0, -0.36
546.0, 6.0, -0.24000000000000002
547.0, 5.0, -0.2
548.0, 6.0, -0.24000000000000002
549.0, 5.0, -0.2
550.0, 9.0, -0.36
551.0, 10.0, -0.39999999999999997
552.0, 13.0, -0.5199999999999999
553.0, 6.0, 0.8
554.0, 5.0, -0.2
555.0, 10.0, -0.39999999999999997
556.0, 3.0, -0.12
557.0, 9.0, -0.36
558.0, 6.0, -0.24000000000000002
559.0, 4.0, 0.88
560.0, 19.0, -0.7600000000000001
561.0, 9.0, -0.36
562.0, 3.0, -0.12
563.0, 7.0, -0.28
564.0, 2.0, -0.08
565.0, 5.0, -0.2
566.0, 6.0, 0.8
567.0, 15.0, -0.6
568.0, 3.0, -0.12
569.0, 8.0, -0.32
570.0, 7.0, -0.28
571.0, 7.0, -0.28
572.0, 9.0, -0.36
573.0, 3.0, 0.92
574.0, 3.0, -0.12
575.0, 5.0, -0.2
576.0, 2.0, -0.08
577.0, 5.0, -0.2
578.0, 4.0, -0.16
579.0, 7.0, -0.28
580.0, 11.0, -0.43999999999999995
581.0, 23.0, -0.9200000000000003
582.0, 17.0, -0.68
583.0, 5.0, -0.2
584.0, 19.0, 0.2799999999999999
585.0, 3.0, -0.12
586.0, 4.0, -0.16
587.0, 7.0, -0.28
588.0, 4.0, -0.16
589.0, 6.0, -0.24000000000000002
590.0, 31.0, -1.2400000000000004
591.0, 20.0, -0.8000000000000002
592.0, 4.0, -0.16
593.0, 5.0, -0.2
594.0, 3.0, -0.12
595.0, 3.0, 0.92
596.0, 4.0, -0.16
597.0, 7.0, 0.76
598.0, 4.0, -0.16
599.0, 8.0, -0.32
600.0, 8.0, -0.32
601.0, 10.0, -0.39999999999999997
602.0, 13.0, -0.5199999999999999
603.0, 7.0, -0.28
604.0, 4.0, 0.88
605.0, 9.0, -0.36
606.0, 4.0, -0.16
607.0, 4.0, -0.16
608.0, 4.0, -0.16
609.0, 5.0, 0.84
610.0, 13.0, -0.5199999999999999
611.0, 4.0, -0.16
612.0, 8.0, -0.32
613.0, 3.0, -0.12
614.0, 13.0, -0.5199999999999999
615.0, 28.0, -1.1200000000000003
616.0, 10.0, -0.39999999999999997
617.0, 4.0, 0.88
618.0, 4.0, -0.16
619.0, 9.0, -0.36
620.0, 19.0, -0.7600000000000001
621.0, 4.0, -0.16
622.0, 5.0, -0.2
623.0, 5.0, -0.2
624.0, 8.0, -0.32
625.0, 12.0, -0.4799999999999999
626.0, 4.0, -0.16
627.0, 3.0, -0.12
628.0, 10.0, -0.39999999999999997
629.0, 12.0, -0.4799999999999999
630.0, 17.0, -0.68
631.0, 5.0, -0.2
632.0, 4.0, 0.88
633.0, 5.0, 0.84
634.0, 6.0, -0.24000000000000002
635.0, 17.0, 0.36
636.0, 4.0, -0.16
637.0, 6.0, -0.24000000000000002
638.0, 3.0, -0.12
639.0, 3.0, -0.12
640.0, 3.0, -0.12
641.0, 15.0, -0.6
642.0, 7.0, -0.28
643.0, 6.0, -0.24000000000000002
644.0, 4.0, -0.16
645.0, 5.0, 0.84
