# episode, exploration_rate, rewards_current_episode, step, winner
162, 0.8519367924948307, 96, 4, AI
163, 0.8510952765304444, -56, 7, Opponent
164, 0.8502546016614047, -57, 8, Opponent
165, 0.8494147670470367, -53, 4, Opponent
166, 0.8485757718475057, -65, 18, AI
167, 0.8477376152238164, 91, 9, AI
168, 0.8469002963378122, 95, 5, AI
169, 0.846063814352174, 98, 2, AI
170, 0.8452281684304199, 70, 32, AI
171, 0.8443933577369037, -171, 23, Opponent
172, 0.8435593814368149, -52, 2, Opponent
173, 0.842726238696177, 94, 6, AI
174, 0.8418939286818471, -55, 5, Opponent
175, 0.8410624505615153, -63, 13, Opponent
176, 0.8402318035037033, -111, 12, Opponent
177, 0.8394019866777639, -57, 8, Opponent
178, 0.8385729992538804, 96, 4, AI
179, 0.8377448404030652, -52, 3, Opponent
180, 0.8369175092971592, 89, 11, AI
181, 0.8360910051088316, 93, 7, AI
182, 0.835265327011578, -152, 4, Opponent
183, 0.83444047417972, -55, 5, Opponent
184, 0.833616445788405, 98, 2, AI
185, 0.8327932410136044, 195, 7, AI
186, 0.8319708590321133, 98, 2, AI
187, 0.8311492990215499, 93, 7, AI
188, 0.8303285601603538, 94, 6, AI
189, 0.8295086416277863, -53, 4, Opponent
190, 0.8286895426039287, -107, 9, Opponent
191, 0.8278712622696819, -113, 15, Opponent
192, 0.8270537998067655, -59, 9, Opponent
193, 0.826237154397717, 93, 7, AI
194, 0.8254213252258911, 97, 3, AI
195, 0.8246063114754583, -54, 5, Opponent
196, 0.8237921123314047, -54, 5, Opponent
197, 0.8229787269795313, 97, 3, AI
198, 0.8221661546064527, -53, 4, Opponent
199, 0.8213543943995963, 85, 17, AI
200, 0.820543445547202, -24, 26, AI
201, 0.8197333072383208, -53, 4, Opponent
202, 0.8189239786628142, -67, 20, Opponent
203, 0.8181154590113539, -54, 4, Opponent
204, 0.8173077474754198, -56, 7, Opponent
205, 0.8165008432473004, -53, 3, Opponent
206, 0.8156947455200915, 145, 6, AI
207, 0.8148894534876954, -105, 6, Opponent
